Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
baby,0,22,22,20,,,,,,,,,,,,,293.25335650000034,303.2542987280003,292.27104934399995,293.2871185560007,298.2643311660004,292.27104934399995,None,298.2643311660004,292.27104934399995,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
coyote,0,23,23,27,,,,,,,,,,,,,304.253565258,None,303.27039633799995,304.27077482500044,309.2536865310003,303.27039633799995,None,309.2536865310003,303.27039633799995,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
grandfather,0,24,24,34,,,,,,,,,,,,,315.2368347110005,314.25376685300034,314.25376685300034,315.25410834800005,320.23777653100024,314.25376685300034,None,320.23777653100024,314.25376685300034,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
cheesecake,0,25,25,7,,,,,,,,,,,,,326.23713525600033,325.24707279300037,325.24707279300037,326.25422990600055,331.2361584530008,325.24707279300037,None,331.2361584530008,325.24707279300037,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
airplane,0,26,26,9,,,,,,,,,,,,,337.2205107660002,336.2371016980005,336.2371016980005,337.2372211970005,342.22061310700064,336.2371016980005,None,342.22061310700064,336.2371016980005,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
necklace,0,27,27,12,,,,,,,,,,,,,348.20383108400074,347.22060176500054,347.22060176500054,348.2209533180003,353.2042134630001,347.22060176500054,None,353.2042134630001,347.22060176500054,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
treadmill,0,28,28,16,,,,,,,,,,,,,359.1871912760007,358.20404785900064,358.20404785900064,359.20384910900066,364.18723169400073,358.20404785900064,None,364.18723169400073,358.20404785900064,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
leopard,0,29,29,24,,,,,,,,,,,,,370.1802460450008,369.1874593190005,369.1874593190005,370.19665534900014,375.17058155700033,369.1874593190005,None,375.17058155700033,369.1874593190005,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
passport,0,30,30,4,,,,,,,,,,,,,381.1708064100003,380.1799655730001,380.1799655730001,381.1708064100003,386.1538639550008,391.15430136600025,None,386.1538639550008,391.15430136600025,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
fingerprint,0,31,31,11,,,,,,,,,,,,,392.1538359460001,391.1798244090005,391.1798244090005,392.1872158620008,397.15464771200004,None,None,397.15464771200004,None,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
ketchup,0,32,32,2,,,,,,,,,,,,,403.14579969400074,402.15449359600007,402.15449359600007,403.1541027740004,408.1465615290008,402.15449359600007,None,408.1465615290008,402.15449359600007,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
camera,0,33,33,3,,,,,,,,,,,,,414.1206052440002,424.1204273450003,413.14606486400044,414.1538821560007,419.14619487800064,413.14606486400044,None,419.14619487800064,413.14606486400044,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
crab,0,34,34,31,,,,,,,,,,,,,425.1539564000004,None,424.1628499570006,425.17124851300014,430.15443643900016,424.1628499570006,None,430.15443643900016,424.1628499570006,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
donkey,0,35,35,23,,,,,,,,,,,,,436.1621974870004,435.162508204,435.162508204,436.1710330400001,441.1378059640001,446.1378895930002,None,441.1378059640001,446.1378895930002,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
axe,0,36,36,0,,,,,,,,,,,,,447.17076625900063,446.17908184299995,446.17908184299995,447.1878744730002,452.1544494630007,457.162379116,None,452.1544494630007,457.162379116,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
hair,0,37,37,8,,,,,,,,,,,,,458.1712300480003,457.1789229750002,457.1789229750002,458.18799743900036,463.1544715380005,468.153896754,None,463.1544715380005,468.153896754,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
elephant,0,38,38,21,,,,,,,,,,,,,469.1537371120003,479.1620666250001,468.1785026510006,469.1877066490006,474.16952478200074,None,None,474.16952478200074,None,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
cabdriver,0,39,39,36,,,,,,,,,,,,,480.170825618,None,479.1786663470002,480.1879360990006,485.1788051470003,479.1786663470002,None,485.1788051470003,479.1786663470002,,,subj002,002,2021_Nov_05_1803,item,3.2.3,59.76216844240573,
,,,,,,,,,,,,,,,,,,,,,,,,,,490.17837930300084,None,,,,,,,
