Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cheerleader,0,28,28,32,,,,,,,,,,,,,360.91780522599583,359.91760670699296,359.91760670699296,360.92664336398593,365.901020321995,370.90993698799866,None,365.901020321995,370.90993698799866,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
axe,0,29,29,0,,,,,,,,,,,,,371.9099825769954,370.9341493390093,370.9341493390093,371.9929613980057,376.9100500229979,None,None,376.9100500229979,None,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
keyboard,0,30,30,15,,,,,,,,,,,,,382.910099086992,392.909838527994,381.91715769001166,382.9265431560052,387.91751186098554,381.91715769001166,None,387.91751186098554,381.91715769001166,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
fingerprint,0,31,31,11,,,,,,,,,,,,,393.9096216330072,None,392.926433288987,393.92664153000806,398.9099113669945,392.926433288987,None,398.9099113669945,392.926433288987,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
cabdriver,0,32,32,36,,,,,,,,,,,,,404.9100232440105,403.90981241999543,403.90981241999543,404.9100232440105,409.89330118798534,414.8934048860101,None,409.89330118798534,414.8934048860101,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
grandfather,0,33,33,34,,,,,,,,,,,,,415.89259851298993,414.91650841999217,414.91650841999217,415.9261564259941,420.8934976529854,None,None,420.8934976529854,None,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
bulldozer,0,34,34,17,,,,,,,,,,,,,426.89359205498477,425.89279130200157,425.89279130200157,426.89359205498477,431.8935939790099,425.89279130200157,None,431.8935939790099,425.89279130200157,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
knight,0,35,35,38,,,,,,,,,,,,,437.8768785519933,436.89322507800534,436.89322507800534,437.9000815890031,442.87655051998445,436.89322507800534,None,442.87655051998445,436.89322507800534,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
ketchup,0,36,36,2,,,,,,,,,,,,,448.86028543199063,458.8596351989836,447.88340720901033,448.8934497589944,453.86673393199453,447.88340720901033,None,453.86673393199453,447.88340720901033,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
walrus,0,37,37,25,,,,,,,,,,,,,459.859957623994,469.8597375509853,458.8833644510014,459.89987346500857,464.86682254000334,458.8833644510014,None,464.86682254000334,458.8833644510014,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
violinist,0,38,38,39,,,,,,,,,,,,,470.86015334000695,None,469.8831260839943,470.89999911698396,475.8602165369957,469.8831260839943,None,475.8602165369957,469.8831260839943,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
necklace,0,39,39,12,,,,,,,,,,,,,481.860342022992,491.8600069489912,480.8660365329997,481.860342022992,486.8656873170112,480.8660365329997,None,486.8656873170112,480.8660365329997,,,subj017,001,2022_Sep_19_1655,item,3.2.3,59.94633340751347,
,,,,,,,,,,,,,,,,,,,,,,,,,,491.88284235598985,None,,,,,,,
