Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.633437048993073,None,1,0.7049435600056313,6.633437048993073,None,,,,,,,,,,,,,,,,,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
,,,,,,,,,,,7.36619997699745,None,5,23.803233034035657,7.36619997699745,None,,,,,,,,,,,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
axe,0,0,0,6,,,,,,,,,,,,,32.184309217962436,42.184508628968615,31.20528514398029,32.217668037978,37.20068631297909,None,2,0.736736765014939,37.20068631297909,None,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
passport,0,1,1,16,,,,,,,,,,,,,43.18485461798264,None,42.2009357700008,43.20062610099558,48.1842780339648,42.2009357700008,2,1.0692386500304565,48.1842780339648,42.2009357700008,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
ladybug,0,2,2,10,,,,,,,,,,,,,54.18442788999528,53.18335051496979,53.18335051496979,54.18442788999528,59.184515060973354,53.18335051496979,1,1.301861527026631,59.184515060973354,53.18335051496979,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
grandfather,0,3,3,7,,,,,,,,,,,,,65.16733370098518,64.18355714395875,64.18355714395875,65.18388668796979,70.16741101699881,64.18355714395875,1,0.9320494990097359,70.16741101699881,64.18355714395875,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
cabdriver,0,4,4,8,,,,,,,,,,,,,76.15112405701075,75.16690971900243,75.16690971900243,76.17069965100382,81.15101144998334,75.16690971900243,1,0.8065782070043497,81.15101144998334,75.16690971900243,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
treadmill,0,5,5,17,,,,,,,,,,,,,87.15048124699388,86.15032168501057,86.15032168501057,87.15048124699388,92.13760825997451,86.15032168501057,2,0.5998708810075186,92.13760825997451,86.15032168501057,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
cheerleader,0,6,6,12,,,,,,,,,,,,,98.13467972399667,97.15070629300317,97.15070629300317,98.15067872800864,103.13462306099245,97.15070629300317,1,0.7369040999910794,103.13462306099245,97.15070629300317,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
porcupine,0,7,7,13,,,,,,,,,,,,,109.11782087100437,108.13388878299156,108.13388878299156,109.13398511498235,114.11808075499721,108.13388878299156,1,0.9333498519845307,114.11808075499721,108.13388878299156,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
microscope,0,8,8,1,,,,,,,,,,,,,120.10136030201102,119.11756842699833,119.11756842699833,120.11820875201374,125.10065526596736,119.11756842699833,2,0.6378696520114318,125.10065526596736,119.11756842699833,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
waterfall,0,9,9,2,,,,,,,,,,,,,131.08470893400954,130.1003953429754,130.1003953429754,131.10070698999334,136.08398356096586,130.1003953429754,2,0.5965705960406922,136.08398356096586,130.1003953429754,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
leopard,0,10,10,0,,,,,,,,,,,,,142.06808402697789,141.08488624898018,141.08488624898018,142.08493882400217,147.06818287499482,141.08488624898018,1,0.7574014760321006,147.06818287499482,141.08488624898018,,,subj031,001,2023_Apr_16_1454,item_20(VR),3.2.3,60.22813852180209,
