Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.314085002999491,None,1,26.761479767999845,6.314085002999491,None,,,,,,,,,,,,,,,,,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
,,,,,,,,,,,33.11385444700136,None,5,19.305736671001796,33.11385444700136,None,,,,,,,,,,,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
crab,0,0,0,31,,,,,,,,,,,,,53.43604110199885,None,52.446792237999034,53.452827721001086,58.43078644799971,None,1,3.247798607997538,58.43078644799971,None,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
leopard,0,1,1,24,,,,,,,,,,,,,64.43616420900071,74.43671278699912,63.43658461900122,64.43616420900071,69.44724528499864,63.43658461900122,1,1.4541878140007611,69.44724528499864,63.43658461900122,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
snowball,0,2,2,14,,,,,,,,,,,,,75.43635736799843,85.44749137899998,74.45327506600006,75.45312877700053,80.44687108899961,None,2,1.178677815998526,80.44687108899961,None,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
cheesecake,0,3,3,7,,,,,,,,,,,,,86.46362325100199,None,85.46278482699927,86.46362325100199,91.44679345899931,None,2,1.102705141001934,91.44679345899931,None,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
platypus,0,4,4,35,,,,,,,,,,,,,97.45333236200167,None,96.46318486599921,97.4701847159995,102.43633985600172,None,1,0.7801957779993245,102.43633985600172,None,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
hairstylist,0,5,5,37,,,,,,,,,,,,,108.44656085300085,None,107.4463546199986,108.46337954800038,113.42979160699906,118.43645393000043,1,1.5986180210020393,113.42979160699906,118.43645393000043,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
ladybug,0,6,6,30,,,,,,,,,,,,,119.43689504500071,None,118.45373893500073,119.45297971900072,124.43717960600043,None,1,0.4012162309991254,124.43717960600043,None,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
stove,0,7,7,13,,,,,,,,,,,,,130.41901274699921,129.43679180600157,129.43679180600157,130.4531185800006,135.41949921500054,129.43679180600157,2,1.394029232000321,135.41949921500054,129.43679180600157,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
mirror,0,8,8,10,,,,,,,,,,,,,141.4035534499999,140.42028722300165,140.42028722300165,141.41963059699992,146.40366154300136,140.42028722300165,2,0.6768722240012721,146.40366154300136,140.42028722300165,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
camera,0,9,9,3,,,,,,,,,,,,,152.38692003699907,151.4037746139984,151.4037746139984,152.4037651940016,157.38699939700018,151.4037746139984,2,0.3625512799990247,157.38699939700018,151.4037746139984,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
umbrella,0,10,10,5,,,,,,,,,,,,,163.36980829599997,162.3870241020013,162.3870241020013,163.38710183199873,168.3792021670015,162.3870241020013,2,0.36523472300177673,168.3792021670015,162.3870241020013,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
violinist,0,11,11,39,,,,,,,,,,,,,174.35277545899953,184.3624588390012,173.37870533300156,174.39568991000124,179.37893266800165,173.37870533300156,1,0.5166308990010293,179.37893266800165,173.37870533300156,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
waterfall,0,12,12,18,,,,,,,,,,,,,185.35318791700047,None,184.37846124000134,185.387032775001,190.3538821889997,184.37846124000134,2,0.8216728239967779,190.3538821889997,184.37846124000134,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
keyboard,0,13,13,15,,,,,,,,,,,,,196.33637281399933,195.35325605899925,195.35325605899925,196.35320206400138,201.33645822200197,195.35325605899925,2,1.0880484750014148,201.33645822200197,195.35325605899925,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
baby,0,14,14,20,,,,,,,,,,,,,207.32053155700123,206.33730614700107,206.33730614700107,207.3365754740007,212.32059472900073,206.33730614700107,None,,212.32059472900073,206.33730614700107,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
chipmunk,0,15,15,26,,,,,,,,,,,,,218.30376740800057,217.32062316800148,217.32062316800148,218.31977103399913,223.3039593559988,217.32062316800148,1,1.4265773170009197,223.3039593559988,217.32062316800148,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
donkey,0,16,16,23,,,,,,,,,,,,,229.28688329099896,228.31196634300068,228.31196634300068,229.32035940900096,234.28727708899896,228.31196634300068,1,1.114135289000842,234.28727708899896,228.31196634300068,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
cabdriver,0,17,17,36,,,,,,,,,,,,,240.2783586149999,239.28663651399984,239.28663651399984,240.29476831099964,245.27067506100138,250.27799441599927,1,0.3388478109991411,245.27067506100138,250.27799441599927,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
fingerprint,0,18,18,11,,,,,,,,,,,,,251.278045078001,250.29480085600153,250.29480085600153,251.28696502299863,256.278122628999,None,2,0.7854306599983829,256.278122628999,None,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
grandfather,0,19,19,34,,,,,,,,,,,,,262.27012251999986,261.27811537800153,261.27811537800153,262.2864784859994,267.2701406449996,261.27811537800153,1,0.2982953560021997,267.2701406449996,261.27811537800153,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
airplane,0,20,20,9,,,,,,,,,,,,,273.253376061999,272.27041668699894,272.27041668699894,273.26985670499926,278.25388709099934,272.27041668699894,2,1.0145459699997446,278.25388709099934,272.27041668699894,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
swan,0,21,21,29,,,,,,,,,,,,,284.23707549900064,294.244301232,283.2539630950014,284.2539415579995,289.2442698900013,283.2539630950014,1,0.6202692679980828,289.2442698900013,283.2539630950014,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
porcupine,0,22,22,22,,,,,,,,,,,,,295.2373207210003,305.23742743600087,294.26048484200146,295.2705477290001,300.25418627399995,294.26048484200146,1,0.8852095179972821,300.25418627399995,294.26048484200146,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
axe,0,23,23,0,,,,,,,,,,,,,306.24363742399873,None,305.253561542002,306.25390168300146,311.24383478000163,305.253561542002,2,3.0686990640024305,311.24383478000163,305.253561542002,,,subj014,001,2022_Oct_02_1341,item,3.2.3,60.19708235747872,
