Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,11.016914472013013,None,1,5.602566394984024,11.016914472013013,None,,,,,,,,,,,,,,,,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
,,,,,,,,,,,16.653103557997383,None,5,17.646443461009767,16.653103557997383,None,,,,,,,,,,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
necklace,0,0,0,3,,,,,,,,,,,,,35.31772852499853,None,34.31651964300545,35.31772852499853,40.300721159001114,45.301509054988855,None,40.300721159001114,45.301509054988855,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
hair,0,1,1,9,,,,,,,,,,,,,46.301061756996205,None,45.318302977015264,46.31753763201414,51.30154029899859,None,None,51.30154029899859,None,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
waterfall,0,2,2,2,,,,,,,,,,,,,57.284329574991716,56.301848317991244,56.301848317991244,57.30149497900857,62.28444134100573,56.301848317991244,None,62.28444134100573,56.301848317991244,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
hummingbird,0,3,3,5,,,,,,,,,,,,,68.28410003700992,78.28428471501684,67.2839161180018,68.28410003700992,73.31700939001166,67.2839161180018,None,73.31700939001166,67.2839161180018,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
treadmill,0,4,4,17,,,,,,,,,,,,,79.30016037801397,None,78.31757679700968,79.31749183201464,84.30151943300734,None,None,84.30151943300734,None,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
cabdriver,0,5,5,8,,,,,,,,,,,,,90.28479128700565,89.30054142000154,89.30054142000154,90.30099306599004,95.28488464499242,89.30054142000154,None,95.28488464499242,89.30054142000154,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
baby,0,6,6,14,,,,,,,,,,,,,101.26809041301021,100.28510679100873,100.28510679100873,101.28422643101658,106.26789586001541,100.28510679100873,None,106.26789586001541,100.28510679100873,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
porcupine,0,7,7,13,,,,,,,,,,,,,112.25219592201756,111.26727520200075,111.26727520200075,112.2683277509932,117.25128183999914,111.26727520200075,None,117.25128183999914,111.26727520200075,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
chipmunk,0,8,8,18,,,,,,,,,,,,,123.2345489860163,122.25123549200362,122.25123549200362,123.25162492299569,128.23498978398857,122.25123549200362,None,128.23498978398857,122.25123549200362,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
leopard,0,9,9,0,,,,,,,,,,,,,134.21895034701447,133.23504208400846,133.23504208400846,134.2342193259974,139.21793604799313,133.23504208400846,None,139.21793604799313,133.23504208400846,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
grandfather,0,10,10,7,,,,,,,,,,,,,145.20111842700862,144.21817806799663,144.21817806799663,145.21740431699436,150.2007854770054,144.21817806799663,None,150.2007854770054,144.21817806799663,,,subj027,001,2023_Apr_02_1408,item_20(VR),3.2.3,60.2715327742146,
