Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.561291275998883,None,1,31.508814127999358,6.561291275998883,None,,,,,,,,,,,,,,,,,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
,,,,,,,,,,,38.09498766899924,None,5,17.446102457999586,38.09498766899924,None,,,,,,,,,,,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
hairstylist,0,0,0,37,,,,,,,,,,,,,56.56152170999849,None,55.57852532799916,56.57898784899953,61.57758845900025,None,1,0.7824199249989761,61.57758845900025,None,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
cheerleader,0,1,1,32,,,,,,,,,,,,,67.56880620999982,None,66.56866549599908,67.58559730599882,72.56876190899857,None,1,1.2313228509992769,72.56876190899857,None,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
passport,0,2,2,4,,,,,,,,,,,,,78.56178925199856,None,77.56099133899988,78.56178925199856,83.56883661699976,None,2,0.9172680450010375,83.56883661699976,None,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
seahorse,0,3,3,33,,,,,,,,,,,,,89.54558427200027,None,88.56139341800008,89.56238823799868,94.54563910199977,None,1,1.5303103880014532,94.54563910199977,None,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
binoculars,0,4,4,1,,,,,,,,,,,,,100.54558807899957,99.55159794300016,99.55159794300016,100.56147768499977,105.5457571829993,99.55159794300016,2,0.6073581219989137,105.5457571829993,99.55159794300016,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
airplane,0,5,5,9,,,,,,,,,,,,,111.52901030199973,110.54495134699937,110.54495134699937,111.5450514109998,116.53504949299895,110.54495134699937,2,0.7140288079990569,116.53504949299895,110.54495134699937,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
walrus,0,6,6,25,,,,,,,,,,,,,122.51234844399914,132.5278309339992,121.53504525399876,122.54562166100004,127.52850183699957,121.53504525399876,1,0.812579845000073,127.52850183699957,121.53504525399876,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
stove,0,7,7,13,,,,,,,,,,,,,133.5288275089988,None,132.5457210349996,133.54577339800016,138.52903371699904,132.5457210349996,2,0.707064131000152,138.52903371699904,132.5457210349996,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
keyboard,0,8,8,15,,,,,,,,,,,,,144.51792154800023,143.5288227759993,143.5288227759993,144.52906632799932,149.51802942499853,143.5288227759993,2,0.6450648660011211,149.51802942499853,143.5288227759993,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
ladybug,0,9,9,30,,,,,,,,,,,,,155.5292523349999,154.5343928179991,154.5343928179991,155.5456524099991,160.51251700399916,165.51252675399883,1,1.065566707000471,160.51251700399916,165.51252675399883,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
treadmill,0,10,10,16,,,,,,,,,,,,,166.5125731019998,165.5286791969993,165.5286791969993,166.52891676499894,171.51273208699968,None,2,0.5892804179984523,171.51273208699968,None,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
coyote,0,11,11,27,,,,,,,,,,,,,177.5007899609991,176.5168288749992,176.5168288749992,177.51776000499922,182.49606946399945,187.4956474319988,1,1.0420333549991483,182.49606946399945,187.4956474319988,,,subj013,001,2022_Jul_10_1720,item,3.2.3,59.82544013371174,
