Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.021375900003477,None,1,3.206829539005412,6.021375900003477,None,,,,,,,,,,,,,,,,,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
,,,,,,,,,,,9.254597594001098,None,5,16.844882731005782,9.254597594001098,None,,,,,,,,,,,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
binoculars,0,0,0,1,,,,,,,,,,,,,27.122827557002893,None,26.13868564099539,27.13967163900088,32.12798384200141,None,2,1.1122081129869912,32.12798384200141,None,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
porcupine,0,1,1,22,,,,,,,,,,,,,38.12177134399826,37.12744307500543,37.12744307500543,38.139365957002155,43.12307497400616,37.12744307500543,1,1.291254816998844,43.12307497400616,37.12744307500543,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
donkey,0,2,2,23,,,,,,,,,,,,,49.11138572200434,48.127975495997816,48.127975495997816,49.12734615600493,54.12273909999931,48.127975495997816,1,0.6375050089991419,54.12273909999931,48.127975495997816,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
treadmill,0,3,3,16,,,,,,,,,,,,,60.11072392600181,59.12293362499622,59.12293362499622,60.12296462300583,65.10574332300166,59.12293362499622,2,0.5194902840012219,65.10574332300166,59.12293362499622,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
scalpel,0,4,4,19,,,,,,,,,,,,,71.10621290000563,70.10548515700793,70.10548515700793,71.10621290000563,76.09410080700764,81.08958460300346,2,1.5000904420012375,76.09410080700764,81.08958460300346,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
airplane,0,5,5,9,,,,,,,,,,,,,82.08958889299538,81.10561169599532,81.10561169599532,82.11062511400087,87.08890952999354,None,2,0.9554448749986477,87.08890952999354,None,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
chipmunk,0,6,6,26,,,,,,,,,,,,,93.07370750900009,92.08977661500103,92.08977661500103,93.09391421200417,98.07707110799674,92.08977661500103,1,0.37128485599532723,98.07707110799674,92.08977661500103,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
hair,0,7,7,8,,,,,,,,,,,,,104.0562084330013,114.06060562899802,103.07286952099821,104.07714543299517,109.06035145900387,103.07286952099821,2,0.7720027879986446,109.06035145900387,103.07286952099821,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
stove,0,8,8,13,,,,,,,,,,,,,115.07252170299762,None,114.07716237900604,115.09411213200656,120.07294349599397,114.07716237900604,2,1.4223853790026624,120.07294349599397,114.07716237900604,,,subj025,001,2023_Feb_05_1243,item,3.2.3,59.856468614133185,
