Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
leopard,0,28,28,24,,,,,,,,,,,,,369.67299638700206,368.6730649040255,368.6730649040255,369.6897457020241,374.66755609202664,379.67312551202485,1,374.66755609202664,379.67312551202485,3.026828925998416,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
cheesecake,0,29,29,7,,,,,,,,,,,,,380.6842915020243,379.6895617400005,379.6895617400005,380.701089470007,385.68435706102173,None,2,385.68435706102173,None,2.043053556000814,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
hummingbird,0,30,30,28,,,,,,,,,,,,,391.6673013980035,401.6678312050062,390.68377233401407,391.6842177590006,396.6727202120237,390.68377233401407,1,396.6727202120237,390.68377233401407,2.2845596639963333,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
seahorse,0,31,31,33,,,,,,,,,,,,,402.67287426500116,None,401.6848003020277,402.6887721650128,407.66781164702843,412.6724635580031,1,407.66781164702843,412.6724635580031,0.9215816580108367,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
swan,0,32,32,29,,,,,,,,,,,,,413.684510333027,412.6892844880058,412.6892844880058,413.684510333027,418.6844282360107,None,1,418.6844282360107,None,1.2848603570018895,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
snowball,0,33,33,14,,,,,,,,,,,,,424.68872980901506,423.6889090950135,423.6889090950135,424.68872980901506,429.68458745101816,423.6889090950135,2,429.68458745101816,423.6889090950135,1.9438240170129575,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
binoculars,0,34,34,1,,,,,,,,,,,,,435.68426791601814,434.688162046019,434.688162046019,435.68426791601814,440.6721145460033,445.67226790601853,2,440.6721145460033,445.67226790601853,2.060283924016403,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
platypus,0,35,35,35,,,,,,,,,,,,,446.66752756002825,445.68848173800507,445.68848173800507,446.7012616090069,451.6683257810073,None,1,451.6683257810073,None,3.466103506012587,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
necklace,0,36,36,12,,,,,,,,,,,,,457.6555565840099,467.6552273980051,456.6716496620211,457.6677776820143,462.6660360530077,456.6716496620211,2,462.6660360530077,456.6716496620211,1.8123646669846494,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
camera,0,37,37,3,,,,,,,,,,,,,468.65110790301696,478.6512767439999,467.66708790900884,468.667976525001,473.66795948601793,467.66708790900884,2,473.66795948601793,467.66708790900884,1.2764737039979082,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
chipmunk,0,38,38,26,,,,,,,,,,,,,479.66755858500255,None,478.66735275500105,479.66755858500255,484.65139384102076,489.65126187101123,1,484.65139384102076,489.65126187101123,3.1519406940205954,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
crab,0,39,39,31,,,,,,,,,,,,,490.6510267300182,489.67091712201363,489.67091712201363,490.6877501880226,495.65075819802587,None,1,495.65075819802587,None,1.8324725279817358,,,subj019,001,2022_Oct_24_1059,item,3.2.3,59.875272020738244,
,,,,,,,,,,,,,,,,,,,,,,,,,,,500.65426129000844,None,,,,,,,
