6.9043 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

51.6588 	DATA 	Keypress: 5
52.1607 	EXP 	text_3: autoDraw = True
52.1719 	EXP 	text_4: autoDraw = False
53.1582 	DATA 	Keypress: 5
53.7652 	DATA 	Keypress: 2
54.6582 	DATA 	Keypress: 5
56.1582 	DATA 	Keypress: 5
57.1552 	EXP 	text_5: autoDraw = True
57.6584 	DATA 	Keypress: 5
59.1584 	DATA 	Keypress: 5
60.6584 	DATA 	Keypress: 5
62.1552 	EXP 	text_5: autoDraw = False
62.1573 	EXP 	New trial (rep=0, index=3): OrderedDict([('Word', 'camera')])
62.1653 	DATA 	Keypress: 5
62.1770 	EXP 	text_3: autoDraw = False
62.1770 	EXP 	text_3: autoDraw = False
62.1770 	EXP 	text_4: autoDraw = False
62.1770 	EXP 	text_5: autoDraw = False
62.1770 	EXP 	text_3: text = 'camera'
62.1770 	EXP 	text_4: autoDraw = True
63.1553 	EXP 	text_3: autoDraw = True
63.1886 	EXP 	text_4: autoDraw = False
63.6586 	DATA 	Keypress: 5
64.4752 	DATA 	Keypress: 2
65.1584 	DATA 	Keypress: 5
66.6591 	DATA 	Keypress: 5
68.1551 	EXP 	text_5: autoDraw = True
68.1588 	DATA 	Keypress: 5
69.6584 	DATA 	Keypress: 5
71.1587 	DATA 	Keypress: 5
72.6580 	DATA 	Keypress: 5
73.1458 	EXP 	New trial (rep=0, index=4): OrderedDict([('Word', 'waterfall')])
73.1604 	EXP 	text_3: autoDraw = False
73.1604 	EXP 	text_5: autoDraw = False
73.1604 	EXP 	text_3: autoDraw = False
73.1604 	EXP 	text_4: autoDraw = False
73.1604 	EXP 	text_5: autoDraw = False
73.1604 	EXP 	text_3: text = 'waterfall'
73.1604 	EXP 	text_4: autoDraw = True
74.1438 	EXP 	text_3: autoDraw = True
74.1553 	EXP 	text_4: autoDraw = False
74.1583 	DATA 	Keypress: 5
75.6583 	DATA 	Keypress: 5
76.3753 	DATA 	Keypress: 2
77.1587 	DATA 	Keypress: 5
78.6579 	DATA 	Keypress: 5
79.1555 	EXP 	text_5: autoDraw = True
80.1583 	DATA 	Keypress: 5
81.6583 	DATA 	Keypress: 5
83.1587 	DATA 	Keypress: 5
84.1387 	EXP 	text_3: autoDraw = False
84.1408 	EXP 	New trial (rep=0, index=5): OrderedDict([('Word', 'walrus')])
84.1548 	EXP 	text_5: autoDraw = False
84.1548 	EXP 	text_3: autoDraw = False
84.1548 	EXP 	text_4: autoDraw = False
84.1548 	EXP 	text_5: autoDraw = False
84.1548 	EXP 	text_3: text = 'walrus'
84.1548 	EXP 	text_4: autoDraw = True
84.6579 	DATA 	Keypress: 5
85.1388 	EXP 	text_3: autoDraw = True
85.1555 	EXP 	text_4: autoDraw = False
86.1572 	DATA 	Keypress: 5
87.1925 	DATA 	Keypress: 1
87.6581 	DATA 	Keypress: 5
89.1581 	DATA 	Keypress: 5
90.1388 	EXP 	text_5: autoDraw = True
90.6587 	DATA 	Keypress: 5
92.1584 	DATA 	Keypress: 5
93.6583 	DATA 	Keypress: 5
95.1242 	EXP 	New trial (rep=0, index=6): OrderedDict([('Word', 'crab')])
95.1389 	EXP 	text_3: autoDraw = False
95.1389 	EXP 	text_5: autoDraw = False
95.1389 	EXP 	text_3: autoDraw = False
95.1389 	EXP 	text_4: autoDraw = False
95.1389 	EXP 	text_5: autoDraw = False
95.1389 	EXP 	text_3: text = 'crab'
95.1389 	EXP 	text_4: autoDraw = True
95.1580 	DATA 	Keypress: 5
96.1263 	EXP 	text_3: autoDraw = True
96.1389 	EXP 	text_4: autoDraw = False
96.6584 	DATA 	Keypress: 5
97.5589 	DATA 	Keypress: 1
98.1579 	DATA 	Keypress: 5
99.6584 	DATA 	Keypress: 5
101.1214 	EXP 	text_5: autoDraw = True
101.1590 	DATA 	Keypress: 5
102.6585 	DATA 	Keypress: 5
104.1587 	DATA 	Keypress: 5
105.6586 	DATA 	Keypress: 5
106.1264 	EXP 	text_5: autoDraw = False
