Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,9.665035680998699,None,1,10.109219067002414,9.665035680998699,None,,,,,,,,,,,,,,,,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
,,,,,,,,,,,19.794562352995854,None,5,16.804558193005505,19.794562352995854,None,,,,,,,,,,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
microscope,0,0,0,6,,,,,,,,,,,,,37.628920724993804,None,36.62823128300079,37.628920724993804,42.62795711999934,None,None,42.62795711999934,None,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
keyboard,0,1,1,15,,,,,,,,,,,,,48.61725232699246,None,47.628164334993926,48.63329685998906,53.61640761399758,None,None,53.61640761399758,None,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
leopard,0,2,2,24,,,,,,,,,,,,,59.599834597000154,58.61625154600188,58.61625154600188,59.61666473100195,64.61100151599385,58.61625154600188,None,64.61100151599385,58.61625154600188,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
porcupine,0,3,3,22,,,,,,,,,,,,,70.59505858000193,69.61079337999399,69.61079337999399,70.61184194899397,75.58310680899012,80.58154689599178,None,75.58310680899012,80.58154689599178,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
ladybug,0,4,4,30,,,,,,,,,,,,,81.59470961599436,80.59443992799788,80.59443992799788,81.59939103599754,86.58376107199001,91.58444174299075,None,86.58376107199001,91.58444174299075,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
violinist,0,5,5,39,,,,,,,,,,,,,92.61158153299766,91.60062829399249,91.60062829399249,92.61158153299766,97.60089627800335,None,None,97.60089627800335,None,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
cheerleader,0,6,6,32,,,,,,,,,,,,,103.60003070099629,102.616827439997,102.616827439997,103.61719991499558,108.59996780299116,102.616827439997,None,108.59996780299116,102.616827439997,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
ketchup,0,7,7,2,,,,,,,,,,,,,114.59408659600012,113.61049439899216,113.61049439899216,114.61040134799259,119.58344498499355,124.58357443999557,None,119.58344498499355,124.58357443999557,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
cabdriver,0,8,8,36,,,,,,,,,,,,,125.58387753099669,124.60039127898926,124.60039127898926,125.5999696469953,130.5832775059971,None,None,130.5832775059971,None,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
hummingbird,0,9,9,28,,,,,,,,,,,,,136.5832475549978,135.58302455299417,135.58302455299417,136.5832475549978,141.56730385198898,146.5666194529913,None,141.56730385198898,146.5666194529913,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
treadmill,0,10,10,16,,,,,,,,,,,,,147.56660606799414,146.58378346699465,146.58378346699465,147.58375409299333,152.56665843099472,None,None,152.56665843099472,None,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
baby,0,11,11,20,,,,,,,,,,,,,158.56075278999924,157.567440763989,157.567440763989,158.56661480899493,163.55078162999416,168.5510560709954,None,163.55078162999416,168.5510560709954,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
scalpel,0,12,12,19,,,,,,,,,,,,,169.56028052700276,168.56687562799198,168.56687562799198,169.56729640199046,174.55049274899648,179.5506446359941,None,174.55049274899648,179.5506446359941,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
necklace,0,13,13,12,,,,,,,,,,,,,180.55066995500238,179.56747253799404,179.56747253799404,180.56746773299528,185.54992076299095,None,None,185.54992076299095,None,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
donkey,0,14,14,23,,,,,,,,,,,,,191.55083808700147,190.55975319400022,190.55975319400022,191.56681919399125,196.55091913200158,190.55975319400022,None,196.55091913200158,190.55975319400022,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
airplane,0,15,15,9,,,,,,,,,,,,,202.53376841499994,201.55083803398884,201.55083803398884,202.5501771119889,207.53428039498976,201.55083803398884,None,207.53428039498976,201.55083803398884,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
knight,0,16,16,38,,,,,,,,,,,,,213.5174919689889,212.53416524299246,212.53416524299246,213.5335824389913,218.5176300299936,212.53416524299246,None,218.5176300299936,212.53416524299246,,,subj018,001,2022_Sep_17_1615,item,3.2.3,None,
